title,url,date,description,img
Version 9.0.2(23.10.21),https://www.desksoft.com/WindowManager_Version.htm,Sat Oct 23 00:00:00 2021,"New: further speed optimizations
Fix: long time delay before moving certain windows",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 9.0.1(22.10.21),https://www.desksoft.com/WindowManager_Version.htm,Fri Oct 22 00:00:00 2021,"New: command line parameters to disable / enable the program
New: additional parameter for advanced commands ""KEY"" and ""TYPE"" to not set focus on target window",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 9.0.0(20.10.21),https://www.desksoft.com/WindowManager_Version.htm,Wed Oct 20 00:00:00 2021,"New: new and improved method of detecting window changes
New: reduced idle CPU load
New: faster window handling
New: improved hot-key selection dialog (you can type into the list directly to select a key combination)
New: improved manual and automatic saving and restoring desktop icon positions
New: virtual desktop functions support for Windows 11
New: option to disable whole program instead of single profiles
Fix: advanced command ""RUN"" starts programs from current user account
Fix: various improvements and bug fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 8.2.0(27.08.21),https://www.desksoft.com/WindowManager_Version.htm,Fri Aug 27 00:00:00 2021,"New: improved execution of advanced scripts (more reliable type, key, click, etc. commands)
Fix: various improvements and bug fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 8.1.3(06.08.21),https://www.desksoft.com/WindowManager_Version.htm,Fri Aug  6 00:00:00 2021,Fix: button position problem when resizing the main dialog,https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 8.1.2(05.08.21),https://www.desksoft.com/WindowManager_Version.htm,Thu Aug  5 00:00:00 2021,"New: cursor ""Up"" and ""Down"" to increment or decrement values in the position and size edit fields in the rule actions. Keys ""G"" and ""S"" get and set the current values.
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 8.1.1(18.06.21),https://www.desksoft.com/WindowManager_Version.htm,Fri Jun 18 00:00:00 2021,"Fix: option ""Run as administrator"" off by default to prevent problems for standard users
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 8.1.0(14.06.21),https://www.desksoft.com/WindowManager_Version.htm,Mon Jun 14 00:00:00 2021,"New: profile restriction to DPI of selected display
Fix: type command in advanced actions had problems with characters that needed ctrl or alt pressed
Fix: font size issue in smooth scrolling list boxes
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 8.0.0(07.05.21),https://www.desksoft.com/WindowManager_Version.htm,Fri May  7 00:00:00 2021,"New: option to run as administrator
New: profile option to restore desktop icon positions
New: profile trigger includes screen DPI
New: improved window picker
New: single rules can be disabled within a profile (for testing rules, etc.)
New: advanced commands can be executed when window is activated or deactivated (in addition to other events)
New: improved event reporting in the ""List..."" dialog
New: different modes for updating profiles when certain events occur
New: restricting profiles to screen configurations
New: trigger on main screen DPI change
New: update profile before main screen resolution change
New: update profile before main screen DPI change
New: example profile ""Save All"" for saving and restoring all open windows when screen resolution changes (e.g. when Display Port monitors are attached or detached).
Fix: various improvements and bug fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.8.1(26.01.21),https://www.desksoft.com/WindowManager_Version.htm,Tue Jan 26 00:00:00 2021,"Fix: issue with option for handling title changing windows
Fix: issue with creating rules for windows that changed title
Fix: ignore transparent windows (complete screen overlays of some programs)
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.8.0(23.01.21),https://www.desksoft.com/WindowManager_Version.htm,Sat Jan 23 00:00:00 2021,"New: advanced commands can be executed when window is restored (in addition to other events)
Fix: advanced commands working on all windows if rule covers more than one window
Fix: ignore list not saved on restart
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.7.0(15.12.20),https://www.desksoft.com/WindowManager_Version.htm,Tue Dec 15 00:00:00 2020,"New: profile trigger on input idle
New: matching parameter: ignore large windows
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.6.3(24.11.20),https://www.desksoft.com/WindowManager_Version.htm,Tue Nov 24 00:00:00 2020,"Fix: problem with Modern UI apps
Fix: further reduction of system load",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.6.2(20.11.20),https://www.desksoft.com/WindowManager_Version.htm,Fri Nov 20 00:00:00 2020,Fix: reduced system load,https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.6.1(08.11.20),https://www.desksoft.com/WindowManager_Version.htm,Sun Nov  8 00:00:00 2020,"Fix: windows that are minimized to tray were treated as new windows when restored from tray
Fix: windows that are minimized to tray were restored when executing a profile",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.6.0(ß7.10.20),https://www.desksoft.com/WindowManager_Version.htm,Wed Oct  7 00:00:00 2020,"New: profile triggers only apply if screen mode matches (if screen trigger is enabled)
New: new advanced command: set title text of selected window
Fix: switching virtual desktops when rule sets window to ""on top"" or ""at bottom""",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.5.6(29.09.20),https://www.desksoft.com/WindowManager_Version.htm,Tue Sep 29 00:00:00 2020,"Fix: empty entry in ignore list causing WindowManager to stop working
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.5.5(21.09.20),https://www.desksoft.com/WindowManager_Version.htm,Mon Sep 21 00:00:00 2020,"Fix: virtual screen trigger not working when options for individual icons not selected
Fix: restoring positions for individual icons on virtual desktops doesn't work for some icons",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.5.4(28.08.20),https://www.desksoft.com/WindowManager_Version.htm,Fri Aug 28 00:00:00 2020,Fix: auto start with Windows not working on some systems,https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.5.3(26.08.20),https://www.desksoft.com/WindowManager_Version.htm,Wed Aug 26 00:00:00 2020,"New: internal optimizations
Fix: recompilation with latest compiler version",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.5.2(13.07.20),https://www.desksoft.com/WindowManager_Version.htm,Mon Jul 13 00:00:00 2020,"New: option for enabling profile when it is loaded
Fix: virtual desktop selection not remembered if window is open",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.5.1(17.06.20),https://www.desksoft.com/WindowManager_Version.htm,Wed Jun 17 00:00:00 2020,"New: hot-key for enabling / disabling the active profile
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.5.0(24.05.20),https://www.desksoft.com/WindowManager_Version.htm,Sun May 24 00:00:00 2020,"New: advanced commands for profiles
New: improved advanced command RUN (can check if program is already running)
New: improved advanced command WAIT (can wait a random time)
New: new advanced command STOP for closing programs
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.4.3(13.04.20),https://www.desksoft.com/WindowManager_Version.htm,Mon Apr 13 00:00:00 2020,"New: option for default mode for rule actions (this or last position, size, state)
New: move to virtual desktop automatically enabled for new rules if more than 1 virtual desktop exists
Fix: prevent triggering disabled profiles",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.4.2(03.03.20),https://www.desksoft.com/WindowManager_Version.htm,Tue Mar  3 00:00:00 2020,"New: option for temporarily restoring minimized / maximized windows that don't respond to move or resize
Fix: improved compatibility of right-clicking minimize button for minimizing windows to the tray area",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.4.1(15.02.20),https://www.desksoft.com/WindowManager_Version.htm,Sat Feb 15 00:00:00 2020,"Fix: issue with applying profiles for existing windows with changed titles
Fix: issue with new tabs in internet browsers",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.4.0(14.02.20),https://www.desksoft.com/WindowManager_Version.htm,Fri Feb 14 00:00:00 2020,"New: improvements for handling state changing without positioning or resizing
New: improvements for handling caption changers
New: real-time update of bold item text for currently open windows in main tree view
Fix: issue with saving options when system shuts down",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.11(22.01.20),https://www.desksoft.com/WindowManager_Version.htm,Wed Jan 22 00:00:00 2020,Fix: issue when programs change the display resolution,https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.10(20.01.20),https://www.desksoft.com/WindowManager_Version.htm,Mon Jan 20 00:00:00 2020,"Fix: small issue when copying a rule
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.9(10.01.20),https://www.desksoft.com/WindowManager_Version.htm,Fri Jan 10 00:00:00 2020,New: advanced commands: attaching to thread input queue now optional as a command,https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.8(04.01.20),https://www.desksoft.com/WindowManager_Version.htm,Sat Jan  4 00:00:00 2020,"Fix: centering windows from ""Edit"" dialog in the ""List..."" dialog
Fix: rare issue with internal uncompression routine",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.7(29.12.19),https://www.desksoft.com/WindowManager_Version.htm,Sun Dec 29 00:00:00 2019,"New: improved setup and uninstall programs
New: updated end user license agreement in setup
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.6(21.12.19),https://www.desksoft.com/WindowManager_Version.htm,Sat Dec 21 00:00:00 2019,"Fix: saving options and configuration sometimes failed
Fix: improved format of setup program
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.5(15.12.19),https://www.desksoft.com/WindowManager_Version.htm,Sun Dec 15 00:00:00 2019,"Fix: list header column sizes in ""List..."" dialog
Fix: list header column sizes remembered in key selection dialog",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.4(13.12.19),https://www.desksoft.com/WindowManager_Version.htm,Fri Dec 13 00:00:00 2019,Fix: new compilation for avoiding false virus detections,https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.3(05.12.19),https://www.desksoft.com/WindowManager_Version.htm,Thu Dec  5 00:00:00 2019,"Fix: order of rule events in list dialog now more intuitive (first window event, then the rule it triggered)
Fix: selection rectangle for pick actions
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.2(04.12.19),https://www.desksoft.com/WindowManager_Version.htm,Wed Dec  4 00:00:00 2019,"Fix: improvements for handling caption changers
Fix: more reliable keyboard and type simulation in advanced commands",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.1(02.12.19),https://www.desksoft.com/WindowManager_Version.htm,Mon Dec  2 00:00:00 2019,"Fix: DPI scaling issues for Windows Vista, Windows 7 and Windows 8
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.3.0(01.12.19),https://www.desksoft.com/WindowManager_Version.htm,Sun Dec  1 00:00:00 2019,"New: update button to update the rules tree
New: hot-keys can now also be selected from a list of all available keys
Fix: various small changes and fixes",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.2.3(23.11.19),https://www.desksoft.com/WindowManager_Version.htm,Sat Nov 23 00:00:00 2019,"Fix: DPI font selectiom for list dialog
Fix: ome DPI related dialog display issues",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.2.2(20.11.19),https://www.desksoft.com/WindowManager_Version.htm,Wed Nov 20 00:00:00 2019,"Fix: pasting a copied rule to a groups
Fix: cosmetical user interface improvements",https://www.desksoft.com/WindowManager/wmscreenshot_large.png
Version 7.2.1(13.11.19),https://www.desksoft.com/WindowManager_Version.htm,Wed Nov 13 00:00:00 2019,Fix: improvements for windows spanning monitors with different DPI settings,https://www.desksoft.com/WindowManager/wmscreenshot_large.png
