title,url,date,description,img
微软 Win11/Win10 Office 全新 UI 已向所有用户推出：自适应亮/暗主题，简洁工具栏,https://www.ithome.com/0/590/198.htm,Thu Dec  2 16:05:14 2021,6 月底，微软宣布了 Office 的视觉更新，该更新专为 Windows 11 设计，但也提升了在 Windows 10 中的体验。微软今日宣布，Office 全新 UI 已向所有用户推出，全新的 UI 设计，支持自适应亮/暗主题等,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/590198_240.jpg
搭载骁龙 8cx Gen 3 的笔记本实拍曝光：装有 Win11，8MB L3 缓存,https://www.ithome.com/0/590/032.htm,Thu Dec  2 10:05:12 2021,笔记本配备 8GB 内存，支持虚拟化技术，L1 缓存 768KB，L2 缓存 6.0MB，L3 缓存 8.0MB,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/590032_240.jpg
高通骁龙 7c+ Gen 3 5G 芯片正式发布：6nm 工艺，CPU 性能提升 60%，GPU 提升 70%,https://www.ithome.com/0/590/006.htm,Thu Dec  2 10:05:12 2021,高通公司特别为 Windows 11 PC 和 Chromebook 系统制作了这一芯片组,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/590006_240.jpg
微软 Win11 Edge 弹窗警告，试图阻止用户下载 Chrome 浏览器,https://www.ithome.com/0/590/001.htm,Thu Dec  2 10:05:12 2021,这条“安全浏览信息”在 Edge 的稳定版中弹出，它只针对访问 Chrome 下载页面的用户，所以如果你试图安装 Firefox、Vivaldi 或 Opera，你不会得到同样的提醒。,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/590001_240.jpg
微软 Win11 Dev 预览版 22509 发布：“开始”菜单三种布局（附更新内容大全）,https://www.ithome.com/0/589/991.htm,Thu Dec  2 10:05:12 2021,这个新版本为“开始”菜单提供了新的布局选项，改进了 Edge + 讲述人的体验，并修复了一系列的错误 Bug。,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/589991_240.jpg
Win10/Win11 学院：如何高效地使用搜索引擎,https://www.ithome.com/0/589/952.htm,Wed Dec  1 00:00:00 2021,注：阅读本文大约需要 7 分钟。前言搜索引擎，确切地讲应该称其为网络搜索引擎，英文为 web serach engine，关于它的定义百度百科是这么说的,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/589952_240.jpg
华为 MateBook E 二合一笔记本今日开售,https://www.ithome.com/0/589/909.htm,Wed Dec  1 00:00:00 2021,12 月 1 日，华为 MateBook E 二合一笔记本新品正式首销，活动当天优惠 100 元，享 3 期免息，评价晒单赢鼠标,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/589909_240.jpg
微软 Win11 预览版全新画图升级：部分对话框获得现代主题风格,https://www.ithome.com/0/589/735.htm,Wed Dec  1 00:00:00 2021,该应用在“编辑颜色”和“调整大小和倾斜”对话框中获得了 Windows 11 风格的设计主题。该公司还指出，各种选项的其他对话框也将被类似地更新。,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/589735_240.jpg
最新统计：微软 Win11 版本占比份额已近 9%,https://www.ithome.com/0/589/732.htm,Wed Dec  1 00:00:00 2021,Windows 11 现在占据整个 Windows 操作系统市场份额的 8.6%（与 9 月份的 4.8% 相比），而有 0.3% 的用户使用 Windows 11 Insider Builds。,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/589732_240.jpg
微软免费工具集 PowerToys v0.51.0 版发布：查找鼠标功能升级/众多小优化,https://www.ithome.com/0/589/730.htm,Wed Dec  1 00:00:00 2021,新版软件带来了大量更新和优化，颜色选择器支持输出十进制或浮点数；FancyZones 有了新的窗口切换功能,https://img.ithome.com/newsuploadfiles/thumbnail/2021/12/589730_240.jpg
